
  ### Dataset:CLEF Lang:russian
  
  #### Indiv Systems
  | System | QueryType |  MAP   |
  |--------|-----------|--------|
  | tm | title | 0.0985 (200) |
  | tm | all | 0.1092 (100) |
  | bm25 | title | 0.3982 (00) |
  | bm25 | all | 0.5108 (00) |

  #### Combined Systems
  | System | QueryType |  MAP   |
  |--------|-----------|--------|
  | combined | title |  0.4079 (0.65) |
  | combined | all |  0.5195 (0.45) |
  
